11:48:07,142 INFO  [main] RawABListener:48 - Initing a RawABListener...
11:48:07,150 INFO  [main] Node:101 - PID: 4638
11:48:07,312 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
11:48:07,316 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
11:48:07,317 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
11:48:07,334 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 1
11:48:07,338 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 1
11:48:07,338 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
11:48:07,342 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: enabled
11:48:07,344 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
11:48:07,348 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [13, 14] (succsessor: 13 at /10.10.1.4:2335)
11:48:07,416 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [2, 13, 14] (succsessor: 2 at /10.10.1.3:2477)
11:48:07,430 INFO  [main] Replica:162 - Token [0], ringId [null], nodeId [14], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [false], useDiskDb [true] with simple constructor
1669229287430, 0, 0
11:48:07,436 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14] (succsessor: 1 at /10.10.1.2:2315)
11:48:07,486 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14, 15] (succsessor: 15 at /10.10.1.6:2085)
1669229288431, 0, 0
1669229289431, 0, 0
1669229290431, 0, 0
1669229291432, 0, 0
1669229292432, 0, 0
1669229293433, 0, 0
1669229294433, 0, 0
1669229295433, 0, 0
1669229296434, 0, 0
1669229297434, 0, 0
11:48:17,469 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 4, 13, 14, 15] (succsessor: 15 at /10.10.1.6:2085)
11:48:18,315 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 4, 5, 13, 14, 15] (succsessor: 15 at /10.10.1.6:2085)
1669229298435, 0, 0
1669229299435, 0, 0
1669229300435, 0, 0
1669229301436, 0, 0
1669229302436, 0, 0
11:48:22,922 ERROR [TCPListener] LearnerRole:219 - Learner received decision without value! [Decision from:2 to:Learner instance:1 ballot:11 v_ballot:0 value:<none> (349592214161821)]
1669229303436, 0, 0
1669229304437, 0, 0
1669229305437, 0, 0
1669229306437, 0, 0
1669229307438, 0, 0
1669229308438, 14, 14
1669229309438, 111, 125
1669229310439, 123, 248
1669229311439, 119, 367
1669229312439, 125, 492
1669229313440, 123, 615
1669229314440, 127, 742
1669229315440, 126, 868
1669229316440, 127, 995
1669229317441, 125, 1120
1669229318441, 118, 1238
1669229319441, 122, 1360
1669229320441, 128, 1488
1669229321442, 126, 1614
1669229322442, 116, 1730
1669229323442, 125, 1855
1669229324442, 129, 1984
1669229325443, 20, 2004
1669229326443, 0, 2004
1669229327443, 0, 2004
1669229328444, 0, 2004
1669229329444, 0, 2004
1669229330444, 0, 2004
1669229331444, 0, 2004
1669229332445, 0, 2004
1669229333445, 0, 2004
1669229334445, 0, 2004
1669229335445, 0, 2004
1669229336446, 0, 2004
1669229337446, 0, 2004
1669229338446, 0, 2004
1669229339446, 0, 2004
1669229340447, 0, 2004
1669229341447, 0, 2004
1669229342447, 0, 2004
1669229343447, 0, 2004
1669229344448, 0, 2004
1669229345448, 0, 2004
1669229346448, 0, 2004
1669229347449, 0, 2004
1669229348449, 0, 2004
1669229349449, 0, 2004
1669229350449, 0, 2004
1669229351450, 0, 2004
1669229352450, 0, 2004
1669229353450, 0, 2004
1669229354450, 0, 2004
1669229355451, 0, 2004
1669229356451, 0, 2004
1669229357451, 0, 2004
1669229358452, 0, 2004
1669229359452, 0, 2004
1669229360452, 0, 2004
1669229361452, 0, 2004
1669229362453, 0, 2004
1669229363453, 0, 2004
1669229364453, 0, 2004
1669229365453, 0, 2004
1669229366453, 0, 2004
1669229367454, 0, 2004
1669229368454, 0, 2004
1669229369454, 0, 2004
1669229370455, 0, 2004
