11:46:27,780 INFO  [main] Client:125 - thinkingTime [50], writePercentage [100], trackerNumber [100]
11:46:27,795 INFO  [main] Client:223 - Start performance testing with [8] threads, sendsPerThread [500], commandSize [512] bytes)
11:46:27,812 INFO  [ClientStatsWriter] Client:202 - Commands sent 0, Response received 0, Total Commands 0, Total Responses 0, Avg latency (ms) 0.00, Lantencies size 0,
11:46:28,815 INFO  [ClientStatsWriter] Client:202 - Commands sent 27, Response received 26, Total Commands 27, Total Responses 26, Avg latency (ms) 0.00, Lantencies size 0,
11:46:29,819 INFO  [ClientStatsWriter] Client:202 - Commands sent 232, Response received 232, Total Commands 259, Total Responses 258, Avg latency (ms) 3.32, Lantencies size 2,
11:46:30,820 INFO  [ClientStatsWriter] Client:202 - Commands sent 235, Response received 236, Total Commands 494, Total Responses 494, Avg latency (ms) 2.91, Lantencies size 2,
11:46:31,822 INFO  [ClientStatsWriter] Client:202 - Commands sent 258, Response received 258, Total Commands 752, Total Responses 752, Avg latency (ms) 2.72, Lantencies size 3,
11:46:32,827 INFO  [ClientStatsWriter] Client:202 - Commands sent 248, Response received 248, Total Commands 1000, Total Responses 1000, Avg latency (ms) 2.56, Lantencies size 3,
11:46:33,829 INFO  [ClientStatsWriter] Client:202 - Commands sent 256, Response received 255, Total Commands 1256, Total Responses 1255, Avg latency (ms) 2.71, Lantencies size 2,
11:46:34,830 INFO  [ClientStatsWriter] Client:202 - Commands sent 250, Response received 251, Total Commands 1506, Total Responses 1506, Avg latency (ms) 2.56, Lantencies size 3,
11:46:35,831 INFO  [ClientStatsWriter] Client:202 - Commands sent 238, Response received 238, Total Commands 1744, Total Responses 1744, Avg latency (ms) 2.66, Lantencies size 2,
11:46:36,832 INFO  [ClientStatsWriter] Client:202 - Commands sent 253, Response received 253, Total Commands 1997, Total Responses 1997, Avg latency (ms) 2.40, Lantencies size 2,
11:46:37,833 INFO  [ClientStatsWriter] Client:202 - Commands sent 243, Response received 242, Total Commands 2240, Total Responses 2239, Avg latency (ms) 2.39, Lantencies size 3,
11:46:38,835 INFO  [ClientStatsWriter] Client:202 - Commands sent 248, Response received 249, Total Commands 2488, Total Responses 2488, Avg latency (ms) 2.63, Lantencies size 2,
11:46:39,836 INFO  [ClientStatsWriter] Client:202 - Commands sent 250, Response received 250, Total Commands 2738, Total Responses 2738, Avg latency (ms) 2.59, Lantencies size 3,
11:46:40,837 INFO  [ClientStatsWriter] Client:202 - Commands sent 257, Response received 257, Total Commands 2995, Total Responses 2995, Avg latency (ms) 2.61, Lantencies size 2,
11:46:41,842 INFO  [ClientStatsWriter] Client:202 - Commands sent 252, Response received 251, Total Commands 3247, Total Responses 3246, Avg latency (ms) 2.58, Lantencies size 3,
11:46:42,843 INFO  [ClientStatsWriter] Client:202 - Commands sent 245, Response received 245, Total Commands 3492, Total Responses 3491, Avg latency (ms) 2.40, Lantencies size 2,
11:46:43,844 INFO  [ClientStatsWriter] Client:202 - Commands sent 252, Response received 252, Total Commands 3744, Total Responses 3743, Avg latency (ms) 2.51, Lantencies size 3,
11:46:44,688 INFO  [Command Sender 6] Client:266 - Thread [Command Sender 6] terminated.
11:46:44,729 INFO  [Command Sender 1] Client:266 - Thread [Command Sender 1] terminated.
11:46:44,743 INFO  [Command Sender 2] Client:266 - Thread [Command Sender 2] terminated.
11:46:44,814 INFO  [Command Sender 7] Client:266 - Thread [Command Sender 7] terminated.
11:46:44,845 INFO  [ClientStatsWriter] Client:202 - Commands sent 235, Response received 236, Total Commands 3979, Total Responses 3979, Avg latency (ms) 2.32, Lantencies size 2,
11:46:44,869 INFO  [Command Sender 5] Client:266 - Thread [Command Sender 5] terminated.
11:46:44,906 INFO  [Command Sender 3] Client:266 - Thread [Command Sender 3] terminated.
11:46:45,087 INFO  [Command Sender 4] Client:266 - Thread [Command Sender 4] terminated.
11:46:45,258 INFO  [Command Sender 0] Client:266 - Thread [Command Sender 0] terminated.
11:46:46,279 INFO  [ShutdownHook] Client:569 - Raw path created [ /tmp/b24732f7-a4ca-411d-b11c-4dbacb4a35f0]
