11:37:55,476 INFO  [main] Client:125 - thinkingTime [50], writePercentage [100], trackerNumber [100]
11:37:55,492 INFO  [main] Client:223 - Start performance testing with [2] threads, experimentTimeSeconds [90], commandSize [1024] bytes)
11:37:55,505 INFO  [ClientStatsWriter] Client:202 - Commands sent 0, Response received 0, Total Commands 0, Total Responses 0, Avg latency (ms) 0.00, Lantencies size 0,
11:37:56,508 INFO  [ClientStatsWriter] Client:202 - Commands sent 55, Response received 54, Total Commands 55, Total Responses 54, Avg latency (ms) 0.00, Lantencies size 0,
11:37:57,511 INFO  [ClientStatsWriter] Client:202 - Commands sent 60, Response received 61, Total Commands 115, Total Responses 115, Avg latency (ms) 2.88, Lantencies size 1,
11:37:58,512 INFO  [ClientStatsWriter] Client:202 - Commands sent 64, Response received 63, Total Commands 179, Total Responses 178, Avg latency (ms) 0.00, Lantencies size 0,
11:37:59,514 INFO  [ClientStatsWriter] Client:202 - Commands sent 59, Response received 59, Total Commands 238, Total Responses 237, Avg latency (ms) 2.46, Lantencies size 1,
11:38:00,519 INFO  [ClientStatsWriter] Client:202 - Commands sent 61, Response received 62, Total Commands 299, Total Responses 299, Avg latency (ms) 0.00, Lantencies size 0,
11:38:01,520 INFO  [ClientStatsWriter] Client:202 - Commands sent 65, Response received 65, Total Commands 364, Total Responses 364, Avg latency (ms) 2.25, Lantencies size 1,
11:38:02,521 INFO  [ClientStatsWriter] Client:202 - Commands sent 65, Response received 65, Total Commands 429, Total Responses 429, Avg latency (ms) 2.07, Lantencies size 1,
11:38:03,522 INFO  [ClientStatsWriter] Client:202 - Commands sent 67, Response received 67, Total Commands 496, Total Responses 496, Avg latency (ms) 0.00, Lantencies size 0,
11:38:04,523 INFO  [ClientStatsWriter] Client:202 - Commands sent 62, Response received 62, Total Commands 558, Total Responses 558, Avg latency (ms) 2.17, Lantencies size 1,
11:38:05,524 INFO  [ClientStatsWriter] Client:202 - Commands sent 61, Response received 61, Total Commands 619, Total Responses 619, Avg latency (ms) 2.16, Lantencies size 1,
11:38:06,525 INFO  [ClientStatsWriter] Client:202 - Commands sent 66, Response received 66, Total Commands 685, Total Responses 685, Avg latency (ms) 0.00, Lantencies size 0,
11:38:07,526 INFO  [ClientStatsWriter] Client:202 - Commands sent 61, Response received 61, Total Commands 746, Total Responses 746, Avg latency (ms) 2.62, Lantencies size 1,
11:38:08,527 INFO  [ClientStatsWriter] Client:202 - Commands sent 62, Response received 62, Total Commands 808, Total Responses 808, Avg latency (ms) 2.07, Lantencies size 1,
11:38:09,531 INFO  [ClientStatsWriter] Client:202 - Commands sent 70, Response received 70, Total Commands 878, Total Responses 878, Avg latency (ms) 0.00, Lantencies size 0,
11:38:10,532 INFO  [ClientStatsWriter] Client:202 - Commands sent 63, Response received 63, Total Commands 941, Total Responses 941, Avg latency (ms) 2.03, Lantencies size 1,
11:38:11,533 INFO  [ClientStatsWriter] Client:202 - Commands sent 62, Response received 62, Total Commands 1003, Total Responses 1003, Avg latency (ms) 2.04, Lantencies size 1,
11:38:12,534 INFO  [ClientStatsWriter] Client:202 - Commands sent 63, Response received 62, Total Commands 1066, Total Responses 1065, Avg latency (ms) 0.00, Lantencies size 0,
11:38:13,534 INFO  [ClientStatsWriter] Client:202 - Commands sent 63, Response received 63, Total Commands 1129, Total Responses 1128, Avg latency (ms) 2.02, Lantencies size 1,
11:38:14,535 INFO  [ClientStatsWriter] Client:202 - Commands sent 61, Response received 62, Total Commands 1190, Total Responses 1190, Avg latency (ms) 0.00, Lantencies size 0,
