19:05:24,587 INFO  [main] RawABListener:48 - Initing a RawABListener...
19:05:24,594 INFO  [main] Node:101 - PID: 7930
19:05:24,783 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
19:05:24,786 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
19:05:24,786 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
19:05:24,803 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 1
19:05:24,803 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 1
19:05:24,804 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
19:05:24,808 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: disabled
19:05:24,810 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
19:05:24,822 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [13, 14] (succsessor: 13 at /10.10.1.4:2792)
19:05:24,827 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 13, 14, 15] (succsessor: 15 at /10.10.1.6:2241)
19:05:24,831 INFO  [main] Replica:169 - Token [0], ringId [null], nodeId [14], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [false], useDiskDb [false] with simple constructor
1670465124831, 0, 0
Reading from stdin
19:05:24,990 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14, 15] (succsessor: 15 at /10.10.1.6:2241)
1670465125832, 0, 0
1670465126832, 0, 0
1670465127833, 0, 0
1670465128833, 0, 0
1670465129834, 97, 97
1670465130834, 1992, 2089
1670465131834, 1993, 4082
1670465132835, 2006, 6088
1670465133835, 2013, 8101
1670465134836, 2030, 10131
1670465135836, 2001, 12132
1670465136837, 2008, 14140
1670465137837, 1999, 16139
1670465138837, 2053, 18192
1670465139838, 1988, 20180
1670465140838, 2030, 22210
1670465141839, 2044, 24254
1670465142840, 2040, 26294
1670465143840, 2056, 28350
1670465144840, 2034, 30384
1670465145841, 2032, 32416
1670465146841, 2003, 34419
1670465147841, 1999, 36418
1670465148842, 2035, 38453
1670465149842, 2026, 40479
1670465150842, 2003, 42482
1670465151843, 2018, 44500
1670465152843, 2032, 46532
1670465153843, 2042, 48574
1670465154844, 2074, 50648
1670465155844, 2037, 52685
1670465156845, 2045, 54730
1670465157845, 2015, 56745
1670465158845, 1961, 58706
1670465159846, 2055, 60761
1670465160846, 2033, 62794
1670465161846, 2058, 64852
1670465162847, 2052, 66904
1670465163847, 2051, 68955
1670465164847, 2025, 70980
1670465165848, 2050, 73030
1670465166848, 1994, 75024
1670465167848, 2043, 77067
1670465168849, 1995, 79062
1670465169849, 2059, 81121
1670465170849, 2040, 83161
1670465171850, 2051, 85212
1670465172850, 2005, 87217
1670465173850, 2048, 89265
1670465174851, 2052, 91317
1670465175851, 2048, 93365
1670465176852, 2035, 95400
1670465177852, 2027, 97427
1670465178852, 2008, 99435
1670465179853, 2046, 101481
1670465180853, 2021, 103502
1670465181853, 2040, 105542
1670465182853, 2017, 107559
1670465183854, 2068, 109627
1670465184854, 2037, 111664
1670465185854, 2062, 113726
1670465186855, 2012, 115738
1670465187855, 2048, 117786
1670465188855, 2016, 119802
1670465189856, 1992, 121794
1670465190856, 2079, 123873
1670465191856, 2018, 125891
1670465192857, 2000, 127891
1670465193857, 2039, 129930
1670465194857, 2021, 131951
1670465195858, 2011, 133962
1670465196860, 2033, 135995
1670465197861, 2053, 138048
1670465198861, 2006, 140054
1670465199861, 2026, 142080
1670465200862, 2056, 144136
1670465201862, 2006, 146142
1670465202863, 2053, 148195
1670465203863, 2015, 150210
1670465204863, 2031, 152241
1670465205864, 2049, 154290
1670465206865, 2044, 156334
1670465207865, 2035, 158369
1670465208866, 2061, 160430
1670465209866, 2088, 162518
1670465210866, 2037, 164555
1670465211867, 2019, 166574
1670465212867, 2065, 168639
1670465213867, 2036, 170675
1670465214868, 2058, 172733
1670465215869, 2025, 174758
1670465216869, 2031, 176789
1670465217870, 2069, 178858
1670465218870, 2009, 180867
1670465219871, 330, 181197
1670465220871, 0, 181197
1670465221871, 0, 181197
